country,period,counterpart_type,Bilateral,Bilateral data,China,China data,Multilateral,Multilateral data,Private,Private data
Burkina Faso,2010-2014,Bilateral,,15452918.5,,,,,,
Burkina Faso,2010-2014,China,,,,6428195.66,,,,
Burkina Faso,2010-2014,Multilateral,,,,,,42216662.72,,
Burkina Faso,2010-2014,Private,,,,,,,,3727181.2
Burkina Faso,2018-2022,Bilateral,21001380.0,21001380.0,,,,,,
Burkina Faso,2018-2022,China,,,6331913.06,6331913.06,,,,
Burkina Faso,2018-2022,Multilateral,,,,,112573677.12,112573677.12,,
Burkina Faso,2018-2022,Private,,,,,,,2079362.18,2079362.18
Burkina Faso,2024-2025 (projected),Bilateral,53569602.2,,,,,,,
Burkina Faso,2024-2025 (projected),China,,,14178664.5,,,,,
Burkina Faso,2024-2025 (projected),Multilateral,,,,,289023734.8,,,
Burkina Faso,2024-2025 (projected),Private,,,,,,,53303070.9,
Burundi,2010-2014,Bilateral,,1650351.44,,,,,,
Burundi,2010-2014,Multilateral,,,,,,9344927.32,,
Burundi,2018-2022,Bilateral,3133628.48,3133628.48,,,,,,
Burundi,2018-2022,China,,,566141.1,566141.1,,,,
Burundi,2018-2022,Multilateral,,,,,14249118.64,14249118.64,,
Burundi,2024-2025 (projected),Bilateral,24825361.15,,,,,,,
Burundi,2024-2025 (projected),China,,,4702312.65,,,,,
Burundi,2024-2025 (projected),Multilateral,,,,,36382424.65,,,
Cabo Verde,2010-2014,Bilateral,,8296015.74,,,,,,
Cabo Verde,2010-2014,China,,,,730793.58,,,,
Cabo Verde,2010-2014,Multilateral,,,,,,22430945.04,,
Cabo Verde,2010-2014,Private,,,,,,,,4555901.78
Cabo Verde,2018-2022,Bilateral,13570450.56,13570450.56,,,,,,
Cabo Verde,2018-2022,China,,,1906742.76,1906742.76,,,,
Cabo Verde,2018-2022,Multilateral,,,,,40737803.92,40737803.92,,
Cabo Verde,2018-2022,Private,,,,,,,9232283.34,9232283.34
Cabo Verde,2024-2025 (projected),Bilateral,44001528.25,,,,,,,
Cabo Verde,2024-2025 (projected),China,,,4674799.9,,,,,
Cabo Verde,2024-2025 (projected),Multilateral,,,,,62668000.7,,,
Cabo Verde,2024-2025 (projected),Private,,,,,,,48302426.9,
Cambodia,2010-2014,Bilateral,,15600354.04,,,,,,
Cambodia,2010-2014,China,,,,21490418.36,,,,
Cambodia,2010-2014,Multilateral,,,,,,57915959.94,,
Cambodia,2018-2022,Bilateral,36269805.14,36269805.14,,,,,,
Cambodia,2018-2022,China,,,218614068.96,218614068.96,,,,
Cambodia,2018-2022,Multilateral,,,,,104042187.36,104042187.36,,
Cambodia,2024-2025 (projected),Bilateral,309724507.2,,,,,,,
Cambodia,2024-2025 (projected),China,,,339214479.15,,,,,
Cambodia,2024-2025 (projected),Multilateral,,,,,193770434.55,,,
Cameroon,2010-2014,Bilateral,,130462679.54,,,,,,
Cameroon,2010-2014,China,,,,25963057.66,,,,
Cameroon,2010-2014,Multilateral,,,,,,54296041.08,,
Cameroon,2010-2014,Private,,,,,,,,6273440.58
Cameroon,2018-2022,Bilateral,147906745.06,147906745.06,,,,,,
Cameroon,2018-2022,China,,,298277427.72,298277427.72,,,,
Cameroon,2018-2022,Multilateral,,,,,190578598.06,190578598.06,,
Cameroon,2018-2022,Private,,,,,,,295275276.64,295275276.64
Cameroon,2024-2025 (projected),Bilateral,195198777.1,,,,,,,
Cameroon,2024-2025 (projected),China,,,667418706.7,,,,,
Cameroon,2024-2025 (projected),Multilateral,,,,,568665118.25,,,
Cameroon,2024-2025 (projected),Private,,,,,,,292334178.5,
Central African Republic,2010-2014,Bilateral,,1874204.2,,,,,,
Central African Republic,2010-2014,China,,,,198646.66,,,,
Central African Republic,2010-2014,Multilateral,,,,,,944714.4,,
Central African Republic,2010-2014,Private,,,,,,,,697590.84
Central African Republic,2018-2022,Bilateral,1315859.78,1315859.78,,,,,,
Central African Republic,2018-2022,China,,,2382488.64,2382488.64,,,,
Central African Republic,2018-2022,Multilateral,,,,,4666302.18,4666302.18,,
Central African Republic,2018-2022,Private,,,,,,,844744.44,844744.44
Central African Republic,2024-2025 (projected),Bilateral,14388897.3,,,,,,,
Central African Republic,2024-2025 (projected),China,,,2544820.0,,,,,
Central African Republic,2024-2025 (projected),Multilateral,,,,,7763052.65,,,
Central African Republic,2024-2025 (projected),Private,,,,,,,23000.0,
Chad,2010-2014,Bilateral,,25837493.32,,,,,,
Chad,2010-2014,China,,,,3288816.4,,,,
Chad,2010-2014,Multilateral,,,,,,62757138.12,,
Chad,2010-2014,Private,,,,,,,,92249622.32
Chad,2018-2022,Bilateral,20328321.0,20328321.0,,,,,,
Chad,2018-2022,China,,,18507945.24,18507945.24,,,,
Chad,2018-2022,Multilateral,,,,,33656882.38,33656882.38,,
Chad,2018-2022,Private,,,,,,,168784200.0,168784200.0
Chad,2024-2025 (projected),Bilateral,100643140.5,,,,,,,
Chad,2024-2025 (projected),China,,,50368008.0,,,,,
Chad,2024-2025 (projected),Multilateral,,,,,164856468.85,,,
Chad,2024-2025 (projected),Private,,,,,,,76653714.3,
Colombia,2010-2014,Bilateral,,118955842.52,,,,,,
Colombia,2010-2014,Multilateral,,,,,,1638125180.4,,
Colombia,2010-2014,Private,,,,,,,,2952572041.02
Colombia,2018-2022,Bilateral,650593788.32,650593788.32,,,,,,
Colombia,2018-2022,Multilateral,,,,,1871008535.28,1871008535.28,,
Colombia,2018-2022,Private,,,,,,,7077885132.5,7077885132.5
Colombia,2024-2025 (projected),Bilateral,742507154.5,,,,,,,
Colombia,2024-2025 (projected),Multilateral,,,,,3456011737.4,,,
Colombia,2024-2025 (projected),Private,,,,,,,6239080177.9,
Comoros,2010-2014,Bilateral,,151794.84,,,,,,
Comoros,2010-2014,Multilateral,,,,,,3312996.56,,
Comoros,2018-2022,Bilateral,120166.94,120166.94,,,,,,
Comoros,2018-2022,China,,,1704390.88,1704390.88,,,,
Comoros,2018-2022,Multilateral,,,,,2325025.1,2325025.1,,
Comoros,2024-2025 (projected),Bilateral,3177420.3,,,,,,,
Comoros,2024-2025 (projected),China,,,6475446.55,,,,,
Comoros,2024-2025 (projected),Multilateral,,,,,13483134.45,,,
Comoros,2024-2025 (projected),Private,,,,,,,15969696.8,
Congo Republic,2010-2014,Bilateral,,22972885.06,,,,,,
Congo Republic,2010-2014,China,,,,111681685.18,,,,
Congo Republic,2010-2014,Multilateral,,,,,,18160865.78,,
Congo Republic,2010-2014,Private,,,,,,,,112311243.04
Congo Republic,2018-2022,Bilateral,50534363.48,50534363.48,,,,,,
Congo Republic,2018-2022,China,,,244967679.36,244967679.36,,,,
Congo Republic,2018-2022,Multilateral,,,,,108298180.62,108298180.62,,
Congo Republic,2018-2022,Private,,,,,,,167712680.36,167712680.36
Congo Republic,2024-2025 (projected),Bilateral,141664543.2,,,,,,,
Congo Republic,2024-2025 (projected),China,,,325757722.65,,,,,
Congo Republic,2024-2025 (projected),Multilateral,,,,,125585540.45,,,
Congo Republic,2024-2025 (projected),Private,,,,,,,264747778.9,
Costa Rica,2010-2014,Bilateral,,49775880.12,,,,,,
Costa Rica,2010-2014,China,,,,14134000.0,,,,
Costa Rica,2010-2014,Multilateral,,,,,,377011261.44,,
Costa Rica,2010-2014,Private,,,,,,,,531244368.4
Costa Rica,2018-2022,Bilateral,42020214.98,42020214.98,,,,,,
Costa Rica,2018-2022,China,,,3025662.88,3025662.88,,,,
Costa Rica,2018-2022,Multilateral,,,,,647686697.04,647686697.04,,
Costa Rica,2018-2022,Private,,,,,,,929660000.0,929660000.0
Costa Rica,2024-2025 (projected),Bilateral,33332985.9,,,,,,,
Costa Rica,2024-2025 (projected),China,,,10641467.15,,,,,
Costa Rica,2024-2025 (projected),Multilateral,,,,,1168878681.05,,,
Costa Rica,2024-2025 (projected),Private,,,,,,,735415000.0,
Cote d'Ivoire,2010-2014,Bilateral,,258533789.4,,,,,,
Cote d'Ivoire,2010-2014,China,,,,7506229.82,,,,
Cote d'Ivoire,2010-2014,Multilateral,,,,,,99530403.86,,
Cote d'Ivoire,2010-2014,Private,,,,,,,,101247816.7
Cote d'Ivoire,2018-2022,Bilateral,352971093.58,352971093.58,,,,,,
Cote d'Ivoire,2018-2022,China,,,89082165.8,89082165.8,,,,
Cote d'Ivoire,2018-2022,Multilateral,,,,,162342330.64,162342330.64,,
Cote d'Ivoire,2018-2022,Private,,,,,,,1066816762.94,1066816762.94
Cote d'Ivoire,2024-2025 (projected),Bilateral,444909421.85,,,,,,,
Cote d'Ivoire,2024-2025 (projected),China,,,428047683.25,,,,,
Cote d'Ivoire,2024-2025 (projected),Multilateral,,,,,594788204.3,,,
Cote d'Ivoire,2024-2025 (projected),Private,,,,,,,2279396465.5,
DR Congo,2010-2014,Bilateral,,47083583.1,,,,,,
DR Congo,2010-2014,China,,,,9823833.7,,,,
DR Congo,2010-2014,Multilateral,,,,,,214706846.72,,
DR Congo,2010-2014,Private,,,,,,,,6371764.0
DR Congo,2018-2022,Bilateral,34524802.74,34524802.74,,,,,,
DR Congo,2018-2022,China,,,39830189.44,39830189.44,,,,
DR Congo,2018-2022,Multilateral,,,,,322755152.88,322755152.88,,
DR Congo,2018-2022,Private,,,,,,,17750800.0,17750800.0
DR Congo,2024-2025 (projected),Bilateral,55547693.8,,,,,,,
DR Congo,2024-2025 (projected),China,,,463930321.6,,,,,
DR Congo,2024-2025 (projected),Multilateral,,,,,159598626.75,,,
DR Congo,2024-2025 (projected),Private,,,,,,,14722000.0,
Djibouti,2010-2014,Bilateral,,7742732.34,,,,,,
Djibouti,2010-2014,China,,,,4308922.78,,,,
Djibouti,2010-2014,Multilateral,,,,,,20974151.98,,
Djibouti,2010-2014,Private,,,,,,,,3356065.18
Djibouti,2018-2022,Bilateral,5712976.74,5712976.74,,,,,,
Djibouti,2018-2022,China,,,16167201.62,16167201.62,,,,
Djibouti,2018-2022,Multilateral,,,,,33623504.76,33623504.76,,
Djibouti,2024-2025 (projected),Bilateral,50106796.65,,,,,,,
Djibouti,2024-2025 (projected),China,,,98965468.75,,,,,
Djibouti,2024-2025 (projected),Multilateral,,,,,97279554.6,,,
Dominica,2010-2014,Bilateral,,4378859.22,,,,,,
Dominica,2010-2014,China,,,,405772.44,,,,
Dominica,2010-2014,Multilateral,,,,,,8300220.82,,
Dominica,2010-2014,Private,,,,,,,,3385315.82
Dominica,2018-2022,Bilateral,4647557.68,4647557.68,,,,,,
Dominica,2018-2022,China,,,2750631.74,2750631.74,,,,
Dominica,2018-2022,Multilateral,,,,,11672390.64,11672390.64,,
Dominica,2018-2022,Private,,,,,,,6182348.34,6182348.34
Dominica,2024-2025 (projected),Bilateral,6666692.1,,,,,,,
Dominica,2024-2025 (projected),China,,,3439063.4,,,,,
Dominica,2024-2025 (projected),Multilateral,,,,,15080164.45,,,
Dominica,2024-2025 (projected),Private,,,,,,,11638172.7,
Dominican Republic,2010-2014,Bilateral,,308590543.5,,,,,,
Dominican Republic,2010-2014,China,,,,1038000.0,,,,
Dominican Republic,2010-2014,Multilateral,,,,,,379892104.5,,
Dominican Republic,2010-2014,Private,,,,,,,,647346414.18
Dominican Republic,2018-2022,Bilateral,170883890.46,170883890.46,,,,,,
Dominican Republic,2018-2022,China,,,246548.6,246548.6,,,,
Dominican Republic,2018-2022,Multilateral,,,,,417911808.56,417911808.56,,
Dominican Republic,2018-2022,Private,,,,,,,2066379041.52,2066379041.52
Dominican Republic,2024-2025 (projected),Bilateral,224812678.75,,,,,,,
Dominican Republic,2024-2025 (projected),China,,,181333.3,,,,,
Dominican Republic,2024-2025 (projected),Multilateral,,,,,1006396723.2,,,
Dominican Republic,2024-2025 (projected),Private,,,,,,,2764502839.55,
Ecuador,2010-2014,Bilateral,,233112960.34,,,,,,
Ecuador,2010-2014,China,,,,518780448.0,,,,
Ecuador,2010-2014,Multilateral,,,,,,693071453.3,,
Ecuador,2010-2014,Private,,,,,,,,154073460.14
Ecuador,2018-2022,Bilateral,338824807.84,338824807.84,,,,,,
Ecuador,2018-2022,China,,,1427550275.94,1427550275.94,,,,
Ecuador,2018-2022,Multilateral,,,,,1143672786.5,1143672786.5,,
Ecuador,2018-2022,Private,,,,,,,1704279941.8,1704279941.8
Ecuador,2024-2025 (projected),Bilateral,125564548.4,,,,,,,
Ecuador,2024-2025 (projected),China,,,1162138218.45,,,,,
Ecuador,2024-2025 (projected),Multilateral,,,,,2109035336.35,,,
Ecuador,2024-2025 (projected),Private,,,,,,,807222195.2,
Egypt,2010-2014,Bilateral,,1868370413.94,,,,,,
Egypt,2010-2014,China,,,,5441428.96,,,,
Egypt,2010-2014,Multilateral,,,,,,912901490.08,,
Egypt,2010-2014,Private,,,,,,,,926582480.42
Egypt,2018-2022,Bilateral,3531179433.5,3531179433.5,,,,,,
Egypt,2018-2022,China,,,789185748.48,789185748.48,,,,
Egypt,2018-2022,Multilateral,,,,,3172929828.28,3172929828.28,,
Egypt,2018-2022,Private,,,,,,,4264790702.72,4264790702.72
Egypt,2024-2025 (projected),Bilateral,1895262237.95,,,,,,,
Egypt,2024-2025 (projected),China,,,1191123180.15,,,,,
