year,country,variable,value,notes
2024,Papua New Guinea,scenario 1,555125409.5,constant aid ratios
2024,Paraguay,scenario 1,369297157.10000014,constant aid ratios
2024,Peru,scenario 1,-89551981.0999999,constant aid ratios
2024,Philippines,scenario 1,3975676121.8,constant aid ratios
2024,Rwanda,scenario 1,1709656884.6999998,constant aid ratios
2024,Samoa,scenario 1,95325042.0,constant aid ratios
2024,Sao Tome and Principe,scenario 1,77944045.10000001,constant aid ratios
2024,Senegal,scenario 1,1634300423.6999998,constant aid ratios
2024,Serbia,scenario 1,2047199905.9999995,constant aid ratios
2024,Sierra Leone,scenario 1,463585192.6,constant aid ratios
2024,Solomon Islands,scenario 1,255048408.5,constant aid ratios
2024,Somalia,scenario 1,2348997748.8,constant aid ratios
2024,South Africa,scenario 1,-6164796783.200002,constant aid ratios
2024,Sri Lanka,scenario 1,-3298263410.0,constant aid ratios
2024,St. Lucia,scenario 1,91865989.9,constant aid ratios
2024,St. Vincent and the Grenadines,scenario 1,51648743.5,constant aid ratios
2024,Sudan,scenario 1,808955981.3,constant aid ratios
2024,Suriname,scenario 1,1677054.800000012,constant aid ratios
2024,Tajikistan,scenario 1,373379928.0,constant aid ratios
2024,Tanzania,scenario 1,3167394451.7000003,constant aid ratios
2024,Thailand,scenario 1,-2678609338.7000003,constant aid ratios
2024,Timor-Leste,scenario 1,252073654.7,constant aid ratios
2024,Togo,scenario 1,463620291.6,constant aid ratios
2024,Tonga,scenario 1,110787721.4,constant aid ratios
2024,Tunisia,scenario 1,-888322140.5999999,constant aid ratios
2024,Turkmenistan,scenario 1,-662316785.4,constant aid ratios
2024,Türkiye,scenario 1,-796267223.2000008,constant aid ratios
2024,Uganda,scenario 1,2370978581.6,constant aid ratios
2024,Upper middle income,scenario 1,-51037566692.80002,constant aid ratios
2024,Uzbekistan,scenario 1,2738396217.3,constant aid ratios
2024,Vanuatu,scenario 1,156758105.0,constant aid ratios
2024,Vietnam,scenario 1,-3660984867.7,constant aid ratios
2024,Yemen,scenario 1,2192469895.3,constant aid ratios
2024,Zambia,scenario 1,-1188751320.1,constant aid ratios
2024,Zimbabwe,scenario 1,982867552.8,constant aid ratios
2025,Afghanistan,scenario 1,2993681508.6,constant aid ratios
2025,Africa,scenario 1,26344276946.600006,constant aid ratios
2025,Albania,scenario 1,4171780.200000048,constant aid ratios
2025,Algeria,scenario 1,161734494.60000002,constant aid ratios
2025,Angola,scenario 1,-8404897732.2,constant aid ratios
2025,Argentina,scenario 1,317950214.0,constant aid ratios
2025,Armenia,scenario 1,-298383071.5999999,constant aid ratios
2025,Azerbaijan,scenario 1,-1281118872.1,constant aid ratios
2025,Bangladesh,scenario 1,4509495955.1,constant aid ratios
2025,Belarus,scenario 1,-1251045981.5,constant aid ratios
2025,Belize,scenario 1,-2336090.399999991,constant aid ratios
2025,Benin,scenario 1,1261907714.5,constant aid ratios
2025,Bhutan,scenario 1,-106180407.39999996,constant aid ratios
2025,Bolivia,scenario 1,14439359.299999952,constant aid ratios
2025,Bosnia and Herzegovina,scenario 1,251289558.70000005,constant aid ratios
2025,Botswana,scenario 1,-127671173.9,constant aid ratios
2025,Brazil,scenario 1,-5364626793.700001,constant aid ratios
2025,Burkina Faso,scenario 1,1395131556.3,constant aid ratios
2025,Burundi,scenario 1,560346665.3,constant aid ratios
2025,Cabo Verde,scenario 1,-6545456.5,constant aid ratios
2025,Cambodia,scenario 1,1166224646.6,constant aid ratios
2025,Cameroon,scenario 1,-60615191.0,constant aid ratios
2025,Central African Republic,scenario 1,718801158.5,constant aid ratios
2025,Chad,scenario 1,801897695.6,constant aid ratios
2025,Colombia,scenario 1,3574520999.8999996,constant aid ratios
2025,Comoros,scenario 1,114504665.29999998,constant aid ratios
2025,Congo Republic,scenario 1,-297730636.9,constant aid ratios
2025,Costa Rica,scenario 1,964946366.1999998,constant aid ratios
2025,Cote d'Ivoire,scenario 1,1015270728.4000006,constant aid ratios
2025,DR Congo,scenario 1,3870671808.4,constant aid ratios
2025,Developing countries,scenario 1,26927989633.099976,constant aid ratios
2025,Djibouti,scenario 1,202226407.40000004,constant aid ratios
2025,Dominica,scenario 1,37223050.0,constant aid ratios
2025,Dominican Republic,scenario 1,313073887.20000076,constant aid ratios
2025,Ecuador,scenario 1,-349841861.5,constant aid ratios
2025,Egypt,scenario 1,2737707667.5,constant aid ratios
2025,El Salvador,scenario 1,119548955.29999997,constant aid ratios
2025,Eritrea,scenario 1,92368415.5,constant aid ratios
2025,Eswatini,scenario 1,67558751.89999999,constant aid ratios
2025,Ethiopia,scenario 1,4992941891.700001,constant aid ratios
2025,Fiji,scenario 1,101078879.1,constant aid ratios
2025,Gabon,scenario 1,-36240935.0,constant aid ratios
2025,Gambia,scenario 1,326920299.70000005,constant aid ratios
2025,Georgia,scenario 1,272904611.39999986,constant aid ratios
2025,Ghana,scenario 1,-1913561487.1,constant aid ratios
2025,Grenada,scenario 1,21931323.499999993,constant aid ratios
2025,Guatemala,scenario 1,1045987783.5000002,constant aid ratios
2025,Guinea,scenario 1,168487179.5999999,constant aid ratios
2025,Guinea-Bissau,scenario 1,136316144.5,constant aid ratios
2025,Guyana,scenario 1,112889945.20000002,constant aid ratios
2025,Haiti,scenario 1,896350650.5,constant aid ratios
2025,Honduras,scenario 1,-413323617.0,constant aid ratios
2025,India,scenario 1,-1363354726.4000015,constant aid ratios
2025,Indonesia,scenario 1,1955523183.7000008,constant aid ratios
2025,Iran,scenario 1,222554021.3,constant aid ratios
2025,Iraq,scenario 1,148310.40000009537,constant aid ratios
2025,Jamaica,scenario 1,-614310390.1000001,constant aid ratios
2025,Jordan,scenario 1,3866158030.500001,constant aid ratios
2025,Kazakhstan,scenario 1,-3905386220.9,constant aid ratios
2025,Kenya,scenario 1,519511963.2000008,constant aid ratios
2025,Kosovo,scenario 1,339324434.2,constant aid ratios
2025,Kyrgyz Republic,scenario 1,283453438.2,constant aid ratios
2025,Laos,scenario 1,-1304637167.6,constant aid ratios
2025,Lebanon,scenario 1,-1653632406.8000002,constant aid ratios
2025,Lesotho,scenario 1,139533590.9,constant aid ratios
2025,Liberia,scenario 1,569604540.8,constant aid ratios
2025,Low income,scenario 1,34505967294.7,constant aid ratios
2025,Lower middle income,scenario 1,8563206051.199982,constant aid ratios
2025,Madagascar,scenario 1,1176748887.4,constant aid ratios
2025,Malawi,scenario 1,1689525675.4,constant aid ratios
2025,Maldives,scenario 1,75820919.39999998,constant aid ratios
2025,Mali,scenario 1,1185256276.9,constant aid ratios
2025,Mauritania,scenario 1,84627557.80000001,constant aid ratios
2025,Mauritius,scenario 1,871300739.7,constant aid ratios
2025,Mexico,scenario 1,-4497444914.799999,constant aid ratios
2025,Moldova,scenario 1,1258597365.3,constant aid ratios
2025,Mongolia,scenario 1,957367277.5,constant aid ratios
2025,Montenegro,scenario 1,-630752461.7,constant aid ratios
2025,Morocco,scenario 1,350340867.4000006,constant aid ratios
2025,Mozambique,scenario 1,2729882115.0,constant aid ratios
2025,Myanmar,scenario 1,356079920.3000001,constant aid ratios
2025,Nepal,scenario 1,901995369.8,constant aid ratios
2025,Nicaragua,scenario 1,23027822.399999976,constant aid ratios
2025,Niger,scenario 1,947161682.1,constant aid ratios
2025,Nigeria,scenario 1,2656012658.8,constant aid ratios
2025,North Macedonia,scenario 1,-171316744.79999995,constant aid ratios
2025,Pakistan,scenario 1,-4346900484.699999,constant aid ratios
2025,Papua New Guinea,scenario 1,502196633.5,constant aid ratios
2025,Paraguay,scenario 1,286891656.0,constant aid ratios
2025,Peru,scenario 1,-1252521817.1,constant aid ratios
2025,Philippines,scenario 1,4204174045.8,constant aid ratios
2025,Rwanda,scenario 1,1590818749.5,constant aid ratios
2025,Samoa,scenario 1,99014194.5,constant aid ratios
2025,Sao Tome and Principe,scenario 1,78806813.80000001,constant aid ratios
2025,Senegal,scenario 1,1483083515.7999997,constant aid ratios
2025,Serbia,scenario 1,2959196861.2999997,constant aid ratios
2025,Sierra Leone,scenario 1,463056704.6,constant aid ratios
2025,Solomon Islands,scenario 1,252463362.8,constant aid ratios
2025,Somalia,scenario 1,2346517661.6,constant aid ratios
2025,South Africa,scenario 1,-6691021748.599999,constant aid ratios
2025,Sri Lanka,scenario 1,-2646493520.9000006,constant aid ratios
2025,St. Lucia,scenario 1,84618778.0,constant aid ratios
2025,St. Vincent and the Grenadines,scenario 1,48594427.900000006,constant aid ratios
2025,Sudan,scenario 1,819188241.8,constant aid ratios
2025,Suriname,scenario 1,-9151981.199999988,constant aid ratios
2025,Tajikistan,scenario 1,200842513.6,constant aid ratios
2025,Tanzania,scenario 1,2933270691.9000006,constant aid ratios
2025,Thailand,scenario 1,-2235287806.0,constant aid ratios
2025,Timor-Leste,scenario 1,248007088.0,constant aid ratios
2025,Togo,scenario 1,445098885.2999999,constant aid ratios
2025,Tonga,scenario 1,110990815.5,constant aid ratios
2025,Tunisia,scenario 1,-627422274.0,constant aid ratios
2025,Turkmenistan,scenario 1,-406150273.0,constant aid ratios
2025,Türkiye,scenario 1,-3441711753.7000046,constant aid ratios
2025,Uganda,scenario 1,2332898250.1,constant aid ratios
2025,Upper middle income,scenario 1,-16209030197.800018,constant aid ratios
2025,Uzbekistan,scenario 1,2144770335.3,constant aid ratios
2025,Vanuatu,scenario 1,155739710.3,constant aid ratios
2025,Vietnam,scenario 1,-2401726958.3,constant aid ratios
2025,Yemen,scenario 1,2321132480.1,constant aid ratios
2025,Zambia,scenario 1,-487387679.89999986,constant aid ratios
2025,Zimbabwe,scenario 1,960331947.2,constant aid ratios
2026,Afghanistan,scenario 1,2998413162.5,constant aid ratios
2026,Africa,scenario 1,31166200313.59999,constant aid ratios
2026,Albania,scenario 1,688773119.9,constant aid ratios
2026,Algeria,scenario 1,161705945.5,constant aid ratios
2026,Angola,scenario 1,-5724265962.2,constant aid ratios
2026,Argentina,scenario 1,183165274.00000095,constant aid ratios
2026,Armenia,scenario 1,-73851514.19999993,constant aid ratios
2026,Azerbaijan,scenario 1,-3410653838.6,constant aid ratios
2026,Bangladesh,scenario 1,4306650861.200001,constant aid ratios
2026,Belarus,scenario 1,-1398202572.5,constant aid ratios
2026,Belize,scenario 1,-256495.20000000295,constant aid ratios
2026,Benin,scenario 1,1250298728.1,constant aid ratios
2026,Bhutan,scenario 1,-244967951.99999997,constant aid ratios
2026,Bolivia,scenario 1,2808281.5999999046,constant aid ratios
2026,Bosnia and Herzegovina,scenario 1,-393143666.9,constant aid ratios
2026,Botswana,scenario 1,-133397951.20000002,constant aid ratios
2026,Brazil,scenario 1,306142158.3999977,constant aid ratios
2026,Burkina Faso,scenario 1,1381935736.6,constant aid ratios
2026,Burundi,scenario 1,557345184.4,constant aid ratios
2026,Cabo Verde,scenario 1,1415671.599999994,constant aid ratios
2026,Cambodia,scenario 1,1290017571.9,constant aid ratios
2026,Cameroon,scenario 1,105195812.79999997,constant aid ratios
2026,Central African Republic,scenario 1,716352994.9,constant aid ratios
2026,Chad,scenario 1,871286591.8,constant aid ratios
2026,Colombia,scenario 1,1288206271.5,constant aid ratios
2026,Comoros,scenario 1,113296814.1,constant aid ratios
2026,Congo Republic,scenario 1,-245606119.0,constant aid ratios
2026,Costa Rica,scenario 1,2177955479.7999997,constant aid ratios
2026,Cote d'Ivoire,scenario 1,1358757274.9000006,constant aid ratios
2026,DR Congo,scenario 1,3832271292.8,constant aid ratios
2026,Developing countries,scenario 1,26372586287.899963,constant aid ratios
2026,Djibouti,scenario 1,206113402.1,constant aid ratios
2026,Dominica,scenario 1,29272855.0,constant aid ratios
2026,Dominican Republic,scenario 1,-549205257.5999994,constant aid ratios
2026,Ecuador,scenario 1,-741924078.1999998,constant aid ratios
2026,Egypt,scenario 1,-1670372500.3000011,constant aid ratios
2026,El Salvador,scenario 1,453575887.39999986,constant aid ratios
2026,Eritrea,scenario 1,94132452.3,constant aid ratios
2026,Eswatini,scenario 1,58266520.599999994,constant aid ratios
2026,Ethiopia,scenario 1,5972689781.200001,constant aid ratios
2026,Fiji,scenario 1,96282828.3,constant aid ratios
2026,Gabon,scenario 1,25833230.799999952,constant aid ratios
2026,Gambia,scenario 1,324750635.3,constant aid ratios
2026,Georgia,scenario 1,-243107275.5,constant aid ratios
2026,Ghana,scenario 1,-2341145811.3,constant aid ratios
2026,Grenada,scenario 1,22424182.39999999,constant aid ratios
2026,Guatemala,scenario 1,329670963.2000003,constant aid ratios
2026,Guinea,scenario 1,162945540.0,constant aid ratios
2026,Guinea-Bissau,scenario 1,134399910.39999998,constant aid ratios
2026,Guyana,scenario 1,80579071.60000002,constant aid ratios
2026,Haiti,scenario 1,893936745.1,constant aid ratios
2026,Honduras,scenario 1,-99846810.89999998,constant aid ratios
2026,India,scenario 1,-6066550582.000004,constant aid ratios
2026,Indonesia,scenario 1,4264364555.5999985,constant aid ratios
2026,Iran,scenario 1,238813782.1,constant aid ratios
2026,Iraq,scenario 1,-26772440.69999981,constant aid ratios
2026,Jamaica,scenario 1,-689648752.3,constant aid ratios
2026,Jordan,scenario 1,2139588282.6000004,constant aid ratios
2026,Kazakhstan,scenario 1,-2321620511.7999997,constant aid ratios
2026,Kenya,scenario 1,1107062319.3000002,constant aid ratios
2026,Kosovo,scenario 1,338663142.5,constant aid ratios
2026,Kyrgyz Republic,scenario 1,278769654.4,constant aid ratios
2026,Laos,scenario 1,-887670494.5999997,constant aid ratios
2026,Lebanon,scenario 1,-1576667534.1999998,constant aid ratios
2026,Lesotho,scenario 1,136709297.60000002,constant aid ratios
2026,Liberia,scenario 1,567310732.6,constant aid ratios
2026,Low income,scenario 1,35390616016.2,constant aid ratios
2026,Lower middle income,scenario 1,7052576246.899994,constant aid ratios
2026,Madagascar,scenario 1,1186846424.5,constant aid ratios
2026,Malawi,scenario 1,1679080749.9,constant aid ratios
2026,Maldives,scenario 1,-369991430.8000001,constant aid ratios
2026,Mali,scenario 1,1156779519.5,constant aid ratios
2026,Mauritania,scenario 1,90088531.7,constant aid ratios
2026,Mauritius,scenario 1,1110020584.1,constant aid ratios
2026,Mexico,scenario 1,-12772944790.600006,constant aid ratios
2026,Moldova,scenario 1,1268520881.5,constant aid ratios
2026,Mongolia,scenario 1,-563549958.4000001,constant aid ratios
2026,Montenegro,scenario 1,-70856051.19999999,constant aid ratios
2026,Morocco,scenario 1,1522385288.8000002,constant aid ratios
2026,Mozambique,scenario 1,2748057912.7000003,constant aid ratios
2026,Myanmar,scenario 1,342670563.8000001,constant aid ratios
2026,Nepal,scenario 1,857892363.3999999,constant aid ratios
2026,Nicaragua,scenario 1,-35303846.399999976,constant aid ratios
2026,Niger,scenario 1,917802552.8,constant aid ratios
2026,Nigeria,scenario 1,3706998451.1,constant aid ratios
2026,North Macedonia,scenario 1,547604878.0,constant aid ratios
2026,Pakistan,scenario 1,-3603179692.1,constant aid ratios
2026,Papua New Guinea,scenario 1,455081700.1,constant aid ratios
2026,Paraguay,scenario 1,-218876172.89999983,constant aid ratios
2026,Peru,scenario 1,-1940338086.7000003,constant aid ratios
2026,Philippines,scenario 1,4848601023.299999,constant aid ratios
2026,Rwanda,scenario 1,1478489389.0,constant aid ratios
2026,Samoa,scenario 1,99205564.2,constant aid ratios
2026,Sao Tome and Principe,scenario 1,79854612.4,constant aid ratios
2026,Senegal,scenario 1,-2780676.4000000954,constant aid ratios
2026,Serbia,scenario 1,2451977754.4999995,constant aid ratios
2026,Sierra Leone,scenario 1,460029360.3,constant aid ratios
2026,Solomon Islands,scenario 1,253105984.2,constant aid ratios
2026,Somalia,scenario 1,2348368240.9,constant aid ratios
2026,South Africa,scenario 1,-4646131866.3,constant aid ratios
2026,Sri Lanka,scenario 1,-1110949149.5,constant aid ratios
2026,St. Lucia,scenario 1,75879009.8,constant aid ratios
2026,St. Vincent and the Grenadines,scenario 1,43105822.30000001,constant aid ratios
2026,Sudan,scenario 1,855025549.5,constant aid ratios
2026,Suriname,scenario 1,-8578471.800000012,constant aid ratios
2026,Tajikistan,scenario 1,210550296.5,constant aid ratios
2026,Tanzania,scenario 1,3715501041.7,constant aid ratios
2026,Thailand,scenario 1,-1736881821.9999998,constant aid ratios
2026,Timor-Leste,scenario 1,243469996.2,constant aid ratios
2026,Togo,scenario 1,407618394.9,constant aid ratios
2026,Tonga,scenario 1,111588572.9,constant aid ratios
2026,Tunisia,scenario 1,336230093.0,constant aid ratios
2026,Turkmenistan,scenario 1,-332279686.5,constant aid ratios
2026,Türkiye,scenario 1,301503230.6000023,constant aid ratios
2026,Uganda,scenario 1,2339201733.2,constant aid ratios
2026,Upper middle income,scenario 1,-16127162281.800018,constant aid ratios
2026,Uzbekistan,scenario 1,1899877826.0,constant aid ratios
2026,Vanuatu,scenario 1,150507853.60000002,constant aid ratios
2026,Vietnam,scenario 1,-2213417490.7,constant aid ratios
2026,Yemen,scenario 1,2362427714.2,constant aid ratios
2026,Zambia,scenario 1,-275246800.89999986,constant aid ratios
2026,Zimbabwe,scenario 1,926693701.5,constant aid ratios
2027,Afghanistan,scenario 1,3002217872.3,constant aid ratios
2027,Africa,scenario 1,38288115041.600006,constant aid ratios
2027,Albania,scenario 1,228099609.29999995,constant aid ratios
2027,Algeria,scenario 1,163258881.5,constant aid ratios
2027,Angola,scenario 1,-4827287889.899999,constant aid ratios
2027,Argentina,scenario 1,815167367.6000004,constant aid ratios
2027,Armenia,scenario 1,29285943.100000024,constant aid ratios
2027,Azerbaijan,scenario 1,-877822511.9,constant aid ratios
2027,Bangladesh,scenario 1,3464311359.700001,constant aid ratios
2027,Belarus,scenario 1,-2156394995.4,constant aid ratios
2027,Belize,scenario 1,-4649515.5,constant aid ratios
2027,Benin,scenario 1,1288633177.9,constant aid ratios
2027,Bhutan,scenario 1,-164241020.20000002,constant aid ratios
2027,Bolivia,scenario 1,29927400.200000048,constant aid ratios
2027,Bosnia and Herzegovina,scenario 1,347189291.9,constant aid ratios
2027,Botswana,scenario 1,-151142561.29999998,constant aid ratios
2027,Brazil,scenario 1,4152257249.199999,constant aid ratios
2027,Burkina Faso,scenario 1,1357700298.9,constant aid ratios
2027,Burundi,scenario 1,557290643.6999999,constant aid ratios
2027,Cabo Verde,scenario 1,4307577.400000006,constant aid ratios
2027,Cambodia,scenario 1,1257758332.7,constant aid ratios
2027,Cameroon,scenario 1,277758873.10000014,constant aid ratios
2027,Central African Republic,scenario 1,716463800.7,constant aid ratios
2027,Chad,scenario 1,822229087.4,constant aid ratios
2027,Colombia,scenario 1,863173088.0,constant aid ratios
2027,Comoros,scenario 1,121622308.7,constant aid ratios
2027,Congo Republic,scenario 1,-218914878.9,constant aid ratios
2027,Costa Rica,scenario 1,1995926527.0,constant aid ratios
2027,Cote d'Ivoire,scenario 1,1318911617.3000002,constant aid ratios
2027,DR Congo,scenario 1,3806029022.9,constant aid ratios
2027,Developing countries,scenario 1,49187642778.099976,constant aid ratios
2027,Djibouti,scenario 1,221520484.2,constant aid ratios
2027,Dominica,scenario 1,40477378.8,constant aid ratios
2027,Dominican Republic,scenario 1,-173888871.69999886,constant aid ratios
2027,Ecuador,scenario 1,-766828011.5,constant aid ratios
2027,Egypt,scenario 1,2794864397.8999996,constant aid ratios
2027,El Salvador,scenario 1,-151230271.0,constant aid ratios
2027,Eritrea,scenario 1,94454909.79999998,constant aid ratios
2027,Eswatini,scenario 1,52265266.3,constant aid ratios
2027,Ethiopia,scenario 1,6078583768.400001,constant aid ratios
2027,Fiji,scenario 1,99555763.5,constant aid ratios
2027,Gabon,scenario 1,80323664.39999998,constant aid ratios
2027,Gambia,scenario 1,315168983.9,constant aid ratios
2027,Georgia,scenario 1,244879635.29999995,constant aid ratios
2027,Ghana,scenario 1,-972545501.2,constant aid ratios
2027,Grenada,scenario 1,27013532.999999993,constant aid ratios
2027,Guatemala,scenario 1,611869886.6000001,constant aid ratios
2027,Guinea,scenario 1,174381077.0999999,constant aid ratios
2027,Guinea-Bissau,scenario 1,136292617.29999998,constant aid ratios
2027,Guyana,scenario 1,76642441.4,constant aid ratios
2027,Haiti,scenario 1,897431327.2,constant aid ratios
2027,Honduras,scenario 1,-853094570.4000001,constant aid ratios
2027,India,scenario 1,-5072335940.100002,constant aid ratios
2027,Indonesia,scenario 1,3558775628.200001,constant aid ratios
2027,Iran,scenario 1,255245428.3,constant aid ratios
2027,Iraq,scenario 1,319857930.0,constant aid ratios
2027,Jamaica,scenario 1,-650704935.8,constant aid ratios
2027,Jordan,scenario 1,3522469978.1000004,constant aid ratios
2027,Kazakhstan,scenario 1,-1166594816.4,constant aid ratios
2027,Kenya,scenario 1,1347963946.5000005,constant aid ratios
2027,Kosovo,scenario 1,317668119.0,constant aid ratios
2027,Kyrgyz Republic,scenario 1,243609457.1,constant aid ratios
2027,Laos,scenario 1,-519990989.5999999,constant aid ratios
2027,Lebanon,scenario 1,-2048847649.4,constant aid ratios
2027,Lesotho,scenario 1,135476416.60000002,constant aid ratios
2027,Liberia,scenario 1,564184089.2,constant aid ratios
2027,Low income,scenario 1,35381321680.4,constant aid ratios
2027,Lower middle income,scenario 1,21176524744.099976,constant aid ratios
2027,Madagascar,scenario 1,1188609888.7,constant aid ratios
2027,Malawi,scenario 1,1660640280.0,constant aid ratios
2027,Maldives,scenario 1,272199420.0,constant aid ratios
2027,Mali,scenario 1,1153757257.0,constant aid ratios
2027,Mauritania,scenario 1,82541310.60000002,constant aid ratios
2027,Mauritius,scenario 1,1337513692.7,constant aid ratios
2027,Mexico,scenario 1,-15183097393.599998,constant aid ratios
2027,Moldova,scenario 1,1285770021.1,constant aid ratios
2027,Mongolia,scenario 1,463124711.2999999,constant aid ratios
2027,Montenegro,scenario 1,-851015905.4000001,constant aid ratios
2027,Morocco,scenario 1,1510167337.3000002,constant aid ratios
2027,Mozambique,scenario 1,2765112372.6000004,constant aid ratios
2027,Myanmar,scenario 1,536910053.4,constant aid ratios
2027,Nepal,scenario 1,825943946.4999999,constant aid ratios
2027,Nicaragua,scenario 1,-51135888.899999976,constant aid ratios
2027,Niger,scenario 1,896331250.3999999,constant aid ratios
2027,Nigeria,scenario 1,1380022762.6999998,constant aid ratios
2027,North Macedonia,scenario 1,254958000.29999995,constant aid ratios
2027,Pakistan,scenario 1,2672946381.8999996,constant aid ratios
2027,Papua New Guinea,scenario 1,446024431.9,constant aid ratios
2027,Paraguay,scenario 1,-280876055.39999986,constant aid ratios
2027,Peru,scenario 1,-1360301667.5,constant aid ratios
2027,Philippines,scenario 1,3439252360.1000004,constant aid ratios
2027,Rwanda,scenario 1,1429216701.0,constant aid ratios
