period,country,counterpart_type,prices,value
2010-2014,Brazil,Private,current,11834819317.54
2010-2014,Burkina Faso,Bilateral,current,15452918.5
2010-2014,Burkina Faso,China,current,6428195.66
2010-2014,Burkina Faso,Multilateral,current,42216662.72
2010-2014,Burkina Faso,Private,current,3727181.2
2010-2014,Burundi,Bilateral,current,1650351.44
2010-2014,Burundi,Multilateral,current,9344927.32
2010-2014,Cabo Verde,Bilateral,current,8296015.74
2010-2014,Cabo Verde,China,current,730793.58
2010-2014,Cabo Verde,Multilateral,current,22430945.04
2010-2014,Cabo Verde,Private,current,4555901.78
2010-2014,Cambodia,Bilateral,current,15600354.04
2010-2014,Cambodia,China,current,21490418.36
2010-2014,Cambodia,Multilateral,current,57915959.94
2010-2014,Cameroon,Bilateral,current,130462679.54
2010-2014,Cameroon,China,current,25963057.66
2010-2014,Cameroon,Multilateral,current,54296041.08
2010-2014,Cameroon,Private,current,6273440.58
2010-2014,Central African Republic,Bilateral,current,1874204.2
2010-2014,Central African Republic,China,current,198646.66
2010-2014,Central African Republic,Multilateral,current,944714.4
2010-2014,Central African Republic,Private,current,697590.84
2010-2014,Chad,Bilateral,current,25837493.32
2010-2014,Chad,China,current,3288816.4
2010-2014,Chad,Multilateral,current,62757138.12
2010-2014,Chad,Private,current,92249622.32
2010-2014,Colombia,Bilateral,current,118955842.52
2010-2014,Colombia,Multilateral,current,1638125180.4
2010-2014,Colombia,Private,current,2952572041.02
2010-2014,Comoros,Bilateral,current,151794.84
2010-2014,Comoros,Multilateral,current,3312996.56
2010-2014,Congo Republic,Bilateral,current,22972885.06
2010-2014,Congo Republic,China,current,111681685.18
2010-2014,Congo Republic,Multilateral,current,18160865.78
2010-2014,Congo Republic,Private,current,112311243.04
2010-2014,Costa Rica,Bilateral,current,49775880.12
2010-2014,Costa Rica,China,current,14134000.0
2010-2014,Costa Rica,Multilateral,current,377011261.44
2010-2014,Costa Rica,Private,current,531244368.4
2010-2014,Cote d'Ivoire,Bilateral,current,258533789.4
2010-2014,Cote d'Ivoire,China,current,7506229.82
2010-2014,Cote d'Ivoire,Multilateral,current,99530403.86
2010-2014,Cote d'Ivoire,Private,current,101247816.7
2010-2014,DR Congo,Bilateral,current,47083583.1
2010-2014,DR Congo,China,current,9823833.7
2010-2014,DR Congo,Multilateral,current,214706846.72
2010-2014,DR Congo,Private,current,6371764.0
2010-2014,Developing countries,Bilateral,current,22949359110.72
2010-2014,Developing countries,China,current,4991657735.66
2010-2014,Developing countries,Multilateral,current,33404760732.9
2010-2014,Developing countries,Private,current,91982851096.48
2010-2014,Djibouti,Bilateral,current,7742732.34
2010-2014,Djibouti,China,current,4308922.78
2010-2014,Djibouti,Multilateral,current,20974151.98
2010-2014,Djibouti,Private,current,3356065.18
2010-2014,Dominica,Bilateral,current,4378859.22
2010-2014,Dominica,China,current,405772.44
2010-2014,Dominica,Multilateral,current,8300220.82
2010-2014,Dominica,Private,current,3385315.82
2010-2014,Dominican Republic,Bilateral,current,308590543.5
2010-2014,Dominican Republic,China,current,1038000.0
2010-2014,Dominican Republic,Multilateral,current,379892104.5
2010-2014,Dominican Republic,Private,current,647346414.18
2010-2014,Ecuador,Bilateral,current,233112960.34
2010-2014,Ecuador,China,current,518780448.0
2010-2014,Ecuador,Multilateral,current,693071453.3
2010-2014,Ecuador,Private,current,154073460.14
2010-2014,Egypt,Bilateral,current,1868370413.94
2010-2014,Egypt,China,current,5441428.96
2010-2014,Egypt,Multilateral,current,912901490.08
2010-2014,Egypt,Private,current,926582480.42
2010-2014,El Salvador,Bilateral,current,51990883.9
2010-2014,El Salvador,China,current,4387400.0
2010-2014,El Salvador,Multilateral,current,472367318.14
2010-2014,El Salvador,Private,current,354408418.48
2010-2014,Eritrea,Bilateral,current,15259791.06
2010-2014,Eritrea,China,current,24138410.44
2010-2014,Eritrea,Multilateral,current,14850583.78
2010-2014,Eswatini,Bilateral,current,9856629.64
2010-2014,Eswatini,China,current,269600.0
2010-2014,Eswatini,Multilateral,current,29972811.72
2010-2014,Eswatini,Private,current,3234880.36
2010-2014,Ethiopia,Bilateral,current,53924407.48
2010-2014,Ethiopia,China,current,170095367.76
2010-2014,Ethiopia,Multilateral,current,74232688.42
2010-2014,Ethiopia,Private,current,171245993.5
2010-2014,Fiji,Bilateral,current,5782584.02
2010-2014,Fiji,China,current,4031845.76
2010-2014,Fiji,Multilateral,current,10521347.82
2010-2014,Fiji,Private,current,49875100.0
2010-2014,Gabon,Bilateral,current,71780928.72
2010-2014,Gabon,China,current,21607673.32
2010-2014,Gabon,Multilateral,current,68034972.78
2010-2014,Gabon,Private,current,431566968.7
2010-2014,Gambia,Bilateral,current,9833262.7
2010-2014,Gambia,China,current,2856026.82
2010-2014,Gambia,Multilateral,current,15239128.34
2010-2014,Gambia,Private,current,2485694.9
2010-2014,Georgia,Bilateral,current,48717222.42
2010-2014,Georgia,China,current,194513.98
2010-2014,Georgia,Multilateral,current,58997464.52
2010-2014,Georgia,Private,current,252898621.12
2010-2014,Ghana,Bilateral,current,87481092.84
2010-2014,Ghana,China,current,82161329.92
2010-2014,Ghana,Multilateral,current,59059378.02
2010-2014,Ghana,Private,current,225603053.24
2010-2014,Grenada,Bilateral,current,4511815.72
2010-2014,Grenada,Multilateral,current,12189342.06
2010-2014,Grenada,Private,current,4200660.0
2010-2014,Guatemala,Bilateral,current,26944980.0
2010-2014,Guatemala,China,current,7336000.0
2010-2014,Guatemala,Multilateral,current,452257122.22
2010-2014,Guatemala,Private,current,202674894.86
2010-2014,Guinea,Bilateral,current,13854992.82
2010-2014,Guinea,China,current,2285824.34
2010-2014,Guinea,Multilateral,current,67197851.72
2010-2014,Guinea-Bissau,Bilateral,current,710392.74
2010-2014,Guinea-Bissau,Multilateral,current,4839137.5
2010-2014,Guinea-Bissau,Private,current,123800.0
2010-2014,Guyana,Bilateral,current,28363871.6
2010-2014,Guyana,China,current,4772707.74
2010-2014,Guyana,Multilateral,current,20388327.54
2010-2014,Guyana,Private,current,2400.0
2010-2014,Haiti,Bilateral,current,22704273.38
2010-2014,Haiti,Multilateral,current,10834322.78
2010-2014,Haiti,Private,current,1995800.0
2010-2014,Honduras,Bilateral,current,27455455.28
2010-2014,Honduras,China,current,4808600.0
2010-2014,Honduras,Multilateral,current,107743884.4
2010-2014,Honduras,Private,current,29648110.18
2010-2014,India,Bilateral,current,2091977233.2
2010-2014,India,China,current,52406596.6
2010-2014,India,Multilateral,current,2499076875.16
2010-2014,India,Private,current,4599678062.34
2010-2014,Indonesia,Bilateral,current,4181309190.04
2010-2014,Indonesia,China,current,73724073.12
2010-2014,Indonesia,Multilateral,current,2200759464.72
2010-2014,Indonesia,Private,current,7645461457.58
2010-2014,Iran,Bilateral,current,152608824.28
2010-2014,Iran,China,current,105672000.0
2010-2014,Iran,Multilateral,current,88753929.94
2010-2014,Iran,Private,current,570202771.82
2010-2014,Jamaica,Bilateral,current,84874142.1
2010-2014,Jamaica,China,current,18599391.88
2010-2014,Jamaica,Multilateral,current,197509979.08
2010-2014,Jamaica,Private,current,666371764.42
2010-2014,Jordan,Bilateral,current,248875503.86
2010-2014,Jordan,China,current,430597.08
2010-2014,Jordan,Multilateral,current,455860964.4
2010-2014,Jordan,Private,current,81791281.18
2010-2014,Kazakhstan,Bilateral,current,109064889.3
2010-2014,Kazakhstan,Multilateral,current,261497581.02
2010-2014,Kazakhstan,Private,current,90151400.0
2010-2014,Kenya,Bilateral,current,205350279.36
2010-2014,Kenya,China,current,31280763.18
2010-2014,Kenya,Multilateral,current,173348342.2
2010-2014,Kenya,Private,current,168817167.16
2010-2014,Kosovo,Bilateral,current,238358.48
2010-2014,Kosovo,Multilateral,current,26564000.0
2010-2014,Kosovo,Private,current,19669.46
2010-2014,Kyrgyz Republic,Bilateral,current,16405717.06
2010-2014,Kyrgyz Republic,China,current,10146954.7
2010-2014,Kyrgyz Republic,Multilateral,current,52809091.08
2010-2014,Laos,Bilateral,current,35299790.58
2010-2014,Laos,China,current,37855487.06
2010-2014,Laos,Multilateral,current,87086269.26
2010-2014,Laos,Private,current,1228100.96
2010-2014,Lebanon,Bilateral,current,179479290.5
2010-2014,Lebanon,Multilateral,current,239563897.5
2010-2014,Lebanon,Private,current,3632328124.44
2010-2014,Lesotho,Bilateral,current,3668283.42
2010-2014,Lesotho,China,current,1481679.62
2010-2014,Lesotho,Multilateral,current,27931626.76
2010-2014,Lesotho,Private,current,2061310.28
2010-2014,Liberia,Bilateral,current,1141606.46
2010-2014,Liberia,China,current,56600.0
2010-2014,Liberia,Multilateral,current,5254034.32
2010-2014,Low income,Bilateral,current,606298475.94
2010-2014,Low income,China,current,472616782.16
2010-2014,Low income,Multilateral,current,1118632394.94
2010-2014,Low income,Private,current,356489581.74
2010-2014,Lower middle income,Bilateral,current,11529962045.34
2010-2014,Lower middle income,China,current,2604245845.88
2010-2014,Lower middle income,Multilateral,current,12447633863.94
2010-2014,Lower middle income,Private,current,20717167009.0
2010-2014,Madagascar,Bilateral,current,23080320.38
2010-2014,Madagascar,China,current,2108560.06
2010-2014,Madagascar,Multilateral,current,32197141.48
2010-2014,Madagascar,Private,current,31626.46
2010-2014,Malawi,Bilateral,current,6653818.44
2010-2014,Malawi,China,current,2413168.42
2010-2014,Malawi,Multilateral,current,18754825.76
2010-2014,Malawi,Private,current,674514.94
2010-2014,Maldives,Bilateral,current,46679198.36
2010-2014,Maldives,China,current,1443924.28
2010-2014,Maldives,Multilateral,current,18894574.02
2010-2014,Maldives,Private,current,22027622.54
2010-2014,Mali,Bilateral,current,19550352.3
2010-2014,Mali,China,current,7286133.48
2010-2014,Mali,Multilateral,current,51991139.24
2010-2014,Mali,Private,current,1213513.46
2010-2014,Mauritania,Bilateral,current,34681519.16
2010-2014,Mauritania,China,current,6901798.1
2010-2014,Mauritania,Multilateral,current,113769925.96
2010-2014,Mauritania,Private,current,2595023.36
2010-2014,Mauritius,Bilateral,current,31229742.0
2010-2014,Mauritius,China,current,10466470.02
2010-2014,Mauritius,Multilateral,current,36872747.78
2010-2014,Mauritius,Private,current,18968719.38
2010-2014,Mexico,Bilateral,current,592841114.28
2010-2014,Mexico,Multilateral,current,1537991301.84
2010-2014,Mexico,Private,current,21561564342.94
2010-2014,Moldova,Bilateral,current,31654909.72
2010-2014,Moldova,China,current,6955400.0
2010-2014,Moldova,Multilateral,current,38512899.08
2010-2014,Moldova,Private,current,6692755.3
2010-2014,Mongolia,Bilateral,current,40712915.74
2010-2014,Mongolia,China,current,5247200.0
2010-2014,Mongolia,Multilateral,current,37013753.46
2010-2014,Mongolia,Private,current,37018060.62
2010-2014,Montenegro,Bilateral,current,34610081.06
2010-2014,Montenegro,China,current,1008251.36
2010-2014,Montenegro,Multilateral,current,49592909.16
2010-2014,Montenegro,Private,current,148103176.76
2010-2014,Morocco,Bilateral,current,769035437.92
2010-2014,Morocco,China,current,59197088.24
2010-2014,Morocco,Multilateral,current,1206092639.28
2010-2014,Morocco,Private,current,426366552.88
2010-2014,Mozambique,Bilateral,current,33069009.96
2010-2014,Mozambique,China,current,8878620.1
2010-2014,Mozambique,Multilateral,current,61193800.34
2010-2014,Mozambique,Private,current,62814049.92
2010-2014,Myanmar,Bilateral,current,546075037.3
2010-2014,Myanmar,China,current,149989856.9
2010-2014,Myanmar,Multilateral,current,218128362.34
2010-2014,Myanmar,Private,current,23716394.06
2010-2014,Nepal,Bilateral,current,37148080.98
2010-2014,Nepal,China,current,711830.82
2010-2014,Nepal,Multilateral,current,158494773.3
2010-2014,Nepal,Private,current,570047.7
2010-2014,Nicaragua,Bilateral,current,31533912.02
2010-2014,Nicaragua,Multilateral,current,67396994.54
2010-2014,Nicaragua,Private,current,905792.94
2010-2014,Niger,Bilateral,current,4180767.9
2010-2014,Niger,China,current,16540759.34
2010-2014,Niger,Multilateral,current,28324665.66
2010-2014,Nigeria,Bilateral,current,826684.46
2010-2014,Nigeria,China,current,95573805.0
2010-2014,Nigeria,Multilateral,current,177576282.54
2010-2014,Nigeria,Private,current,39489200.0
2010-2014,North Macedonia,Bilateral,current,16902223.12
2010-2014,North Macedonia,China,current,11739598.44
2010-2014,North Macedonia,Multilateral,current,129895966.26
2010-2014,North Macedonia,Private,current,110284129.06
2010-2014,Pakistan,Bilateral,current,585114817.8
2010-2014,Pakistan,China,current,222993396.4
2010-2014,Pakistan,Multilateral,current,1382817710.88
2010-2014,Pakistan,Private,current,263864400.0
2010-2014,Papua New Guinea,Bilateral,current,28606219.74
2010-2014,Papua New Guinea,China,current,2750883.18
2010-2014,Papua New Guinea,Multilateral,current,54090326.1
2010-2014,Papua New Guinea,Private,current,7670220.12
2010-2014,Paraguay,Bilateral,current,67570314.26
2010-2014,Paraguay,Multilateral,current,179802546.62
2010-2014,Paraguay,Private,current,43276480.0
2010-2014,Peru,Bilateral,current,506969992.52
2010-2014,Peru,China,current,326000.0
2010-2014,Peru,Multilateral,current,1351139861.28
2010-2014,Peru,Private,current,1037531466.22
2010-2014,Philippines,Bilateral,current,1311834011.14
2010-2014,Philippines,China,current,34432636.86
2010-2014,Philippines,Multilateral,current,932052879.14
2010-2014,Philippines,Private,current,4444187502.64
2010-2014,Rwanda,Bilateral,current,3856107.76
2010-2014,Rwanda,China,current,926014.94
2010-2014,Rwanda,Multilateral,current,15767007.2
2010-2014,Rwanda,Private,current,8070000.0
2010-2014,Samoa,Bilateral,current,137947.48
2010-2014,Samoa,China,current,3778685.54
2010-2014,Samoa,Multilateral,current,10021737.66
2010-2014,Sao Tome and Principe,Bilateral,current,4784687.54
2010-2014,Sao Tome and Principe,Multilateral,current,1634411.88
2010-2014,Senegal,Bilateral,current,80160068.94
2010-2014,Senegal,China,current,21297704.96
2010-2014,Senegal,Multilateral,current,76326478.5
2010-2014,Senegal,Private,current,42823733.84
2010-2014,Serbia,Bilateral,current,234092719.08
2010-2014,Serbia,China,current,24713544.92
2010-2014,Serbia,Multilateral,current,457606652.66
2010-2014,Serbia,Private,current,449253667.54
2010-2014,Sierra Leone,Bilateral,current,2851410.62
2010-2014,Sierra Leone,China,current,1166792.56
2010-2014,Sierra Leone,Multilateral,current,10905579.8
2010-2014,Solomon Islands,Bilateral,current,2256320.3
2010-2014,Solomon Islands,Multilateral,current,6140269.8
2010-2014,Solomon Islands,Private,current,49770.28
2010-2014,South Africa,Bilateral,current,6070451.24
2010-2014,South Africa,Multilateral,current,97435180.4
2010-2014,South Africa,Private,current,5066821226.5
2010-2014,Sri Lanka,Bilateral,current,453417386.82
2010-2014,Sri Lanka,China,current,160641170.14
2010-2014,Sri Lanka,Multilateral,current,282223935.66
2010-2014,Sri Lanka,Private,current,839200545.6
2010-2014,St. Lucia,Bilateral,current,3216816.46
2010-2014,St. Lucia,Multilateral,current,21257919.06
2010-2014,St. Lucia,Private,current,15069449.96
2010-2014,St. Vincent and the Grenadines,Bilateral,current,2937582.44
2010-2014,St. Vincent and the Grenadines,China,current,164740.2
2010-2014,St. Vincent and the Grenadines,Multilateral,current,17424920.68
2010-2014,St. Vincent and the Grenadines,Private,current,13092331.5
2010-2014,Sudan,Bilateral,current,71109886.72
2010-2014,Sudan,China,current,198373952.22
2010-2014,Sudan,Multilateral,current,109216651.88
2010-2014,Syria,Bilateral,current,162774138.28
2010-2014,Syria,China,current,1011537.24
2010-2014,Syria,Multilateral,current,82910750.04
2010-2014,Syria,Private,current,1059486.2
2010-2014,Tajikistan,Bilateral,current,18118089.1
2010-2014,Tajikistan,China,current,37161941.46
2010-2014,Tajikistan,Multilateral,current,41969708.28
2010-2014,Tajikistan,Private,current,387279.14
2010-2014,Tanzania,Bilateral,current,10419954.16
2010-2014,Tanzania,China,current,10269032.94
2010-2014,Tanzania,Multilateral,current,63836239.46
2010-2014,Tanzania,Private,current,46957239.08
2010-2014,Thailand,Bilateral,current,692531897.32
2010-2014,Thailand,Multilateral,current,43542789.4
2010-2014,Thailand,Private,current,856522274.64
2010-2014,Timor-Leste,Multilateral,current,44600.0
2010-2014,Togo,Bilateral,current,8746055.8
2010-2014,Togo,China,current,2421718.4
2010-2014,Togo,Multilateral,current,18390482.6
2010-2014,Togo,Private,current,4782639.3
2010-2014,Tonga,China,current,2650239.08
2010-2014,Tonga,Multilateral,current,3186776.28
2010-2014,Tonga,Private,current,264422.92
2010-2014,Tunisia,Bilateral,current,361239367.58
2010-2014,Tunisia,China,current,8957733.78
2010-2014,Tunisia,Multilateral,current,888704969.56
2010-2014,Tunisia,Private,current,754238947.48
2010-2014,Turkmenistan,Bilateral,current,90105689.28
2010-2014,Turkmenistan,China,current,438733387.52
2010-2014,Turkmenistan,Multilateral,current,13034332.42
2010-2014,Turkmenistan,Private,current,3121200.0
2010-2014,Türkiye,Bilateral,current,643279750.74
2010-2014,Türkiye,China,current,16969951.62
2010-2014,Türkiye,Multilateral,current,1757895520.68
2010-2014,Türkiye,Private,current,8356239132.7
2010-2014,Uganda,Bilateral,current,11375146.9
2010-2014,Uganda,China,current,6832995.04
2010-2014,Uganda,Multilateral,current,54582124.54
2010-2014,Uganda,Private,current,41516.4
2010-2014,Upper middle income,Bilateral,current,10784734717.84
2010-2014,Upper middle income,China,current,1910022399.88
2010-2014,Upper middle income,Multilateral,current,19818106146.48
2010-2014,Upper middle income,Private,current,70909192105.74
2010-2014,Uzbekistan,Bilateral,current,141998109.58
2010-2014,Uzbekistan,China,current,43045996.54
2010-2014,Uzbekistan,Multilateral,current,122126956.76
2010-2014,Uzbekistan,Private,current,70858298.28
2010-2014,Vanuatu,Bilateral,current,410865.02
2010-2014,Vanuatu,China,current,1698919.16
2010-2014,Vanuatu,Multilateral,current,3527053.18
2010-2014,Vietnam,Bilateral,current,857108224.76
2010-2014,Vietnam,China,current,228550648.14
2010-2014,Vietnam,Multilateral,current,469254497.0
2010-2014,Vietnam,Private,current,857759763.44
2010-2014,Yemen,Bilateral,current,85886783.22
2010-2014,Yemen,China,current,7770632.92
2010-2014,Yemen,Multilateral,current,178155989.28
2010-2014,Yemen,Private,current,900588.3
2010-2014,Zambia,Bilateral,current,36284002.74
2010-2014,Zambia,China,current,70442760.2
2010-2014,Zambia,Multilateral,current,28635788.08
2010-2014,Zambia,Private,current,17046400.0
2010-2014,Zimbabwe,Bilateral,current,2783345.76
2010-2014,Zimbabwe,China,current,47058878.88
2010-2014,Zimbabwe,Multilateral,current,12266752.12
2010-2014,Zimbabwe,Private,current,1731053.76
2018-2022,Afghanistan,Bilateral,current,1699353.54
2018-2022,Afghanistan,Multilateral,current,23381947.34
2018-2022,Africa,Bilateral,current,7860124002.64
2018-2022,Africa,China,current,7925514406.78
2018-2022,Africa,Multilateral,current,12201113482.4
2018-2022,Africa,Private,current,32123506023.26
2018-2022,Albania,Bilateral,current,70461438.1
2018-2022,Albania,Multilateral,current,211001975.66
2018-2022,Albania,Private,current,222324732.16
2018-2022,Algeria,Bilateral,current,79276432.38
2018-2022,Algeria,Multilateral,current,35982246.48
2018-2022,Algeria,Private,current,6723057.18
2018-2022,Angola,Bilateral,current,520276032.7
2018-2022,Angola,China,current,2932221000.0
2018-2022,Angola,Multilateral,current,172065588.88
2018-2022,Angola,Private,current,5136693045.86
2018-2022,Argentina,Bilateral,current,738290671.56
2018-2022,Argentina,China,current,798153200.0
2018-2022,Argentina,Multilateral,current,2570514908.3
2018-2022,Argentina,Private,current,12141974648.72
2018-2022,Armenia,Bilateral,current,95047597.98
2018-2022,Armenia,China,current,1233886.32
2018-2022,Armenia,Multilateral,current,198015312.4
2018-2022,Armenia,Private,current,174737240.7
2018-2022,Azerbaijan,Bilateral,current,172028775.9
2018-2022,Azerbaijan,Multilateral,current,824300763.06
2018-2022,Azerbaijan,Private,current,648718820.6
2018-2022,Bangladesh,Bilateral,current,360421493.0
2018-2022,Bangladesh,China,current,163825849.98
2018-2022,Bangladesh,Multilateral,current,1403167685.26
2018-2022,Bangladesh,Private,current,434482924.38
2018-2022,Belarus,Bilateral,current,1210458395.18
2018-2022,Belarus,China,current,842361626.96
2018-2022,Belarus,Multilateral,current,566082695.34
2018-2022,Belarus,Private,current,983878438.74
2018-2022,Belize,Bilateral,current,14722243.54
2018-2022,Belize,Multilateral,current,45152491.06
2018-2022,Belize,Private,current,128055000.0
2018-2022,Benin,Bilateral,current,25274769.48
2018-2022,Benin,China,current,13569275.58
2018-2022,Benin,Multilateral,current,136030673.66
2018-2022,Benin,Private,current,184028962.56
2018-2022,Bhutan,Bilateral,current,58919397.1
2018-2022,Bhutan,Multilateral,current,28720807.86
2018-2022,Bhutan,Private,current,6616349.4
2018-2022,Bolivia,Bilateral,current,14932118.52
2018-2022,Bolivia,China,current,83651842.78
2018-2022,Bolivia,Multilateral,current,606264725.96
2018-2022,Bolivia,Private,current,272608991.7
2018-2022,Bosnia and Herzegovina,Bilateral,current,84826596.44
2018-2022,Bosnia and Herzegovina,Multilateral,current,344052067.08
2018-2022,Bosnia and Herzegovina,Private,current,42434373.2
2018-2022,Botswana,Bilateral,current,5862239.86
2018-2022,Botswana,China,current,5858430.1
2018-2022,Botswana,Multilateral,current,151944679.16
2018-2022,Botswana,Private,current,2717600.0
2018-2022,Brazil,Bilateral,current,629169376.02
2018-2022,Brazil,China,current,2053103000.0
2018-2022,Brazil,Multilateral,current,3283460710.06
2018-2022,Brazil,Private,current,27382549063.52
2018-2022,Burkina Faso,Bilateral,current,21001380.0
2018-2022,Burkina Faso,China,current,6331913.06
2018-2022,Burkina Faso,Multilateral,current,112573677.12
2018-2022,Burkina Faso,Private,current,2079362.18
2018-2022,Burundi,Bilateral,current,3133628.48
2018-2022,Burundi,China,current,566141.1
2018-2022,Burundi,Multilateral,current,14249118.64
2018-2022,Cabo Verde,Bilateral,current,13570450.56
2018-2022,Cabo Verde,China,current,1906742.76
2018-2022,Cabo Verde,Multilateral,current,40737803.92
2018-2022,Cabo Verde,Private,current,9232283.34
2018-2022,Cambodia,Bilateral,current,36269805.14
2018-2022,Cambodia,China,current,218614068.96
2018-2022,Cambodia,Multilateral,current,104042187.36
2018-2022,Cameroon,Bilateral,current,147906745.06
2018-2022,Cameroon,China,current,298277427.72
2018-2022,Cameroon,Multilateral,current,190578598.06
2018-2022,Cameroon,Private,current,295275276.64
2018-2022,Central African Republic,Bilateral,current,1315859.78
2018-2022,Central African Republic,China,current,2382488.64
2018-2022,Central African Republic,Multilateral,current,4666302.18
2018-2022,Central African Republic,Private,current,844744.44
2018-2022,Chad,Bilateral,current,20328321.0
2018-2022,Chad,China,current,18507945.24
2018-2022,Chad,Multilateral,current,33656882.38
2018-2022,Chad,Private,current,168784200.0
2018-2022,Colombia,Bilateral,current,650593788.32
2018-2022,Colombia,Multilateral,current,1871008535.28
2018-2022,Colombia,Private,current,7077885132.5
2018-2022,Comoros,Bilateral,current,120166.94
2018-2022,Comoros,China,current,1704390.88
2018-2022,Comoros,Multilateral,current,2325025.1
2018-2022,Congo Republic,Bilateral,current,50534363.48
2018-2022,Congo Republic,China,current,244967679.36
2018-2022,Congo Republic,Multilateral,current,108298180.62
2018-2022,Congo Republic,Private,current,167712680.36
2018-2022,Costa Rica,Bilateral,current,42020214.98
2018-2022,Costa Rica,China,current,3025662.88
2018-2022,Costa Rica,Multilateral,current,647686697.04
2018-2022,Costa Rica,Private,current,929660000.0
2018-2022,Cote d'Ivoire,Bilateral,current,352971093.58
2018-2022,Cote d'Ivoire,China,current,89082165.8
2018-2022,Cote d'Ivoire,Multilateral,current,162342330.64
2018-2022,Cote d'Ivoire,Private,current,1066816762.94
2018-2022,DR Congo,Bilateral,current,34524802.74
2018-2022,DR Congo,China,current,39830189.44
2018-2022,DR Congo,Multilateral,current,322755152.88
2018-2022,DR Congo,Private,current,17750800.0
2018-2022,Developing countries,Bilateral,current,28836341393.12
2018-2022,Developing countries,China,current,20383150594.14
2018-2022,Developing countries,Multilateral,current,52750730105.62
2018-2022,Developing countries,Private,current,197230475247.28
2018-2022,Djibouti,Bilateral,current,5712976.74
2018-2022,Djibouti,China,current,16167201.62
2018-2022,Djibouti,Multilateral,current,33623504.76
2018-2022,Dominica,Bilateral,current,4647557.68
2018-2022,Dominica,China,current,2750631.74
2018-2022,Dominica,Multilateral,current,11672390.64
2018-2022,Dominica,Private,current,6182348.34
2018-2022,Dominican Republic,Bilateral,current,170883890.46
2018-2022,Dominican Republic,China,current,246548.6
2018-2022,Dominican Republic,Multilateral,current,417911808.56
2018-2022,Dominican Republic,Private,current,2066379041.52
2018-2022,Ecuador,Bilateral,current,338824807.84
2018-2022,Ecuador,China,current,1427550275.94
2018-2022,Ecuador,Multilateral,current,1143672786.5
2018-2022,Ecuador,Private,current,1704279941.8
2018-2022,Egypt,Bilateral,current,3531179433.5
2018-2022,Egypt,China,current,789185748.48
2018-2022,Egypt,Multilateral,current,3172929828.28
2018-2022,Egypt,Private,current,4264790702.72
2018-2022,El Salvador,Bilateral,current,54665492.92
2018-2022,El Salvador,China,current,745000.0
