country,year,income_level,value,flow_type,entity_code,gni,value_pct_gni,gni_pc
Mozambique,2023.0,Low income,-0.25,excluding concessional finance,MOZ,18203328644.0188,-1.376440133559461,540.0
Malawi,2023.0,Low income,0.04,excluding concessional finance,MWI,12628307005.0329,0.33156856246298483,600.0
Niger,2023.0,Low income,-0.05,excluding concessional finance,NER,16303272745.4944,-0.28662684069316235,620.0
DR Congo,2023.0,Low income,-0.2,excluding concessional finance,COD,67082242168.6331,-0.2915236349858352,630.0
Chad,2023.0,Low income,-0.15,excluding concessional finance,TCD,12999923870.1574,-1.1371266668672435,670.0
Liberia,2023.0,Low income,0.03,excluding concessional finance,LBR,3917869127.2946,0.8050196133472942,710.0
Mali,2023.0,Low income,-0.03,excluding concessional finance,MLI,19892455678.4441,-0.12793925904069486,840.0
Burkina Faso,2023.0,Low income,0.06,excluding concessional finance,BFA,19697494427.106,0.3258650009397694,860.0
Gambia,2023.0,Low income,0.02,excluding concessional finance,GMB,2334485850.43137,0.6667311518347356,870.0
Sierra Leone,2023.0,Low income,-0.03,excluding concessional finance,SLE,7336231335.06969,-0.3413850975537986,870.0
Sudan,2023.0,Low income,-0.1,excluding concessional finance,SDN,43787505279.7462,-0.2371700407148702,880.0
Guinea-Bissau,2023.0,Low income,-0.01,excluding concessional finance,GNB,2033194308.11786,-0.6666952364502798,940.0
Uganda,2023.0,Low income,0.5,excluding concessional finance,UGA,47261072713.7974,1.0482030158307751,970.0
Rwanda,2023.0,Low income,0.33,excluding concessional finance,RWA,13853020998.445,2.3501767941920058,990.0
Togo,2023.0,Low income,-0.02,excluding concessional finance,TGO,9323210954.7998,-0.22519286972897684,1000.0
Ethiopia,2023.0,Low income,1.71,excluding concessional finance,ETH,142605284059.216,1.1971171812898007,1110.0
Tanzania,2023.0,Lower middle income,0.91,excluding concessional finance,TZA,79088209745.4677,1.1489573337473027,1220.0
Lesotho,2023.0,Lower middle income,0.03,excluding concessional finance,LSO,2897894309.49996,0.8872676175839102,1250.0
Zambia,2023.0,Lower middle income,0.0,excluding concessional finance,ZMB,26731807415.2853,0.012421108114453138,1290.0
Guinea,2023.0,Lower middle income,0.12,excluding concessional finance,GIN,19380027113.6762,0.6278229271110649,1350.0
Benin,2023.0,Lower middle income,0.5,excluding concessional finance,BEN,19610877128.0441,2.544613203895842,1390.0
Comoros,2023.0,Lower middle income,0.0,excluding concessional finance,COM,1366416849.96979,0.03389822805611928,1610.0
Senegal,2023.0,Lower middle income,1.19,excluding concessional finance,SEN,29532140835.2309,4.040385484605761,1630.0
Cameroon,2023.0,Lower middle income,-0.5,excluding concessional finance,CMR,47905444552.8735,-1.0529979771782374,1690.0
Nigeria,2023.0,Lower middle income,2.17,excluding concessional finance,NGA,429500770756.848,0.5063718005133112,1880.0
Zimbabwe,2023.0,Lower middle income,0.36,excluding concessional finance,ZWE,33687156926.9187,1.0713805854349148,2060.0
Kenya,2023.0,Lower middle income,-0.43,excluding concessional finance,KEN,116961158793.37,-0.3706371745733537,2110.0
Angola,2023.0,Lower middle income,-6.72,excluding concessional finance,AGO,78048984686.834,-8.612331538803348,2120.0
Mauritania,2023.0,Lower middle income,-0.12,excluding concessional finance,MRT,10690657303.943,-1.1233496237477023,2130.0
Ghana,2023.0,Lower middle income,0.53,excluding concessional finance,GHA,79823496732.6041,0.6642159717408601,2360.0
Congo Republic,2023.0,Lower middle income,-0.41,excluding concessional finance,COG,15144181834.2659,-2.6930523494983487,2450.0
Cote d'Ivoire,2023.0,Lower middle income,0.5,excluding concessional finance,CIV,76938116005.6078,0.6555113649562725,2470.0
Sao Tome and Principe,2023.0,Lower middle income,0.02,excluding concessional finance,STP,596230257.779722,3.9798588029336064,2580.0
Djibouti,2023.0,Lower middle income,0.2,excluding concessional finance,DJI,3921774065.18753,5.081417730535959,3400.0
Eswatini,2023.0,Lower middle income,-0.02,excluding concessional finance,SWZ,4538254139.26607,-0.38038626683854615,3690.0
Morocco,2023.0,Lower middle income,1.61,excluding concessional finance,MAR,143921185426.809,1.1175456012471097,3760.0
Egypt,2023.0,Lower middle income,0.35,excluding concessional finance,EGY,439283081783.312,0.08068862357755034,3840.0
Tunisia,2023.0,Lower middle income,-0.13,excluding concessional finance,TUN,46797066430.0508,-0.27341150452507373,3840.0
Cabo Verde,2023.0,Lower middle income,-0.08,excluding concessional finance,CPV,2496047164.26938,-3.096547293112708,4780.0
Algeria,2023.0,Upper middle income,-0.1,excluding concessional finance,DZA,228481173657.541,-0.04247052601604898,4950.0
South Africa,2023.0,Upper middle income,-6.71,excluding concessional finance,ZAF,409784434310.326,-1.6385495322926675,6480.0
Gabon,2023.0,Upper middle income,-0.2,excluding concessional finance,GAB,19697281550.0883,-1.0313570630719309,7930.0
Botswana,2023.0,Upper middle income,-0.17,excluding concessional finance,BWA,20694114857.1621,-0.8047051205109466,8340.0
Mauritius,2023.0,Upper middle income,0.21,excluding concessional finance,MUS,14614798552.7811,1.4233694542468704,11590.0
